DATE,ME_ID,DISEASE_ID,ORDER_QUANTITY,ORDER_FREE_QUANTITY,SOLD_QUANTITY,SOLD_FREE,MEDICINE_NAME,DISEASE_NAME,CITY
01-04-2018,AM2020,BL2020,42.00 ,0,0,0,AMLOKIND AT -TAB,BLOOD PRESSURE,NO_CITY
01-04-2018,AM2020,BL2020,480.00 ,0,0,0,AMLOKIND AT -TAB,BLOOD PRESSURE,NO_CITY
02-04-2018,AM2020,BL2020,0,0,25.00 ,5.00 ,AMLOKIND AT -TAB,BLOOD PRESSURE,SINGARAYAKONDA
02-04-2018,AM2020,BL2020,0,0,25.00 ,5.00 ,AMLOKIND AT -TAB,BLOOD PRESSURE,SINGARAYAKONDA
02-04-2018,AM2020,BL2020,0,0,10.00 ,2.00 ,AMLOKIND AT -TAB,BLOOD PRESSURE,KANDUKUR
02-04-2018,AM2020,BL2020,0,0,25.00 ,5.00 ,AMLOKIND AT -TAB,BLOOD PRESSURE,KANDUKUR
02-04-2018,AM2020,BL2020,0,0,11.00 ,1.00 ,AMLOKIND AT -TAB,BLOOD PRESSURE,KANDUKUR
05-04-2018,AM2020,BL2020,0,0,100.00 ,20.00 ,AMLOKIND AT -TAB,BLOOD PRESSURE,ONGOLE
06-04-2018,AM2020,BL2020,0,0,100.00 ,20.00 ,AMLOKIND AT -TAB,BLOOD PRESSURE,ONGOLE
06-04-2018,AM2020,BL2020,0,0,20.00 ,0,AMLOKIND AT -TAB,BLOOD PRESSURE,KANIGIRI
06-04-2018,AM2020,BL2020,0,0,5.00 ,5.00 ,AMLOKIND AT -TAB,BLOOD PRESSURE,KANIGIRI
06-04-2018,AM2020,BL2020,0,0,10.00 ,2.00 ,AMLOKIND AT -TAB,BLOOD PRESSURE,SINGARAYAKONDA
07-04-2018,AM2020,BL2020,0,0,10.00 ,2.00 ,AMLOKIND AT -TAB,BLOOD PRESSURE,ONGOLE
07-04-2018,AM2020,BL2020,0,0,50.00 ,10.00 ,AMLOKIND AT -TAB,BLOOD PRESSURE,DARSI
07-04-2018,AM2020,BL2020,0,0,25.00 ,5.00 ,AMLOKIND AT -TAB,BLOOD PRESSURE,PODILI
09-04-2018,AM2020,BL2020,330.00 ,30.00 ,0,0,AMLOKIND AT -TAB,BLOOD PRESSURE,VIJAYAWADA
10-04-2018,AM2020,BL2020,0,0,11.00 ,1.00 ,AMLOKIND AT -TAB,BLOOD PRESSURE,ONGOLE
10-04-2018,AM2020,BL2020,0,0,110.00 ,10.00 ,AMLOKIND AT -TAB,BLOOD PRESSURE,ONGOLE
13-04-2018,AM2020,BL2020,220.00 ,20.00 ,0,0,AMLOKIND AT -TAB,BLOOD PRESSURE,VIJAYAWADA
23-04-2018,AM2020,BL2020,0,0,11.00 ,1.00 ,AMLOKIND AT -TAB,BLOOD PRESSURE,KANDUKUR
27-04-2018,AM2020,BL2020,0,0,22.00 ,2.00 ,AMLOKIND AT -TAB,BLOOD PRESSURE,KANIGIRI
28-04-2018,AM2020,BL2020,0,0,11.00 ,1.00 ,AMLOKIND AT -TAB,BLOOD PRESSURE,PODILI
28-04-2018,AM2020,BL2020,0,0,11.00 ,1.00 ,AMLOKIND AT -TAB,BLOOD PRESSURE,ONGOLE
30-04-2018,AM2020,BL2020,0,0,11.00 ,1.00 ,AMLOKIND AT -TAB,BLOOD PRESSURE,KANDUKUR
30-04-2018,AM2020,BL2020,0,0,33.00 ,3.00 ,AMLOKIND AT -TAB,BLOOD PRESSURE,KANDUKUR
01-05-2018,AM2020,BL2020,0,0,110.00 ,10.00 ,AMLOKIND AT -TAB,BLOOD PRESSURE,ONGOLE
01-05-2018,AM2020,BL2020,0,0,11.00 ,1.00 ,AMLOKIND AT -TAB,BLOOD PRESSURE,EDUMUDI
